mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,228,228
4e:67:ff:8e:2b:68,2412,HIPERT,226,226
4e:67:ff:8e:2b:69,2412,VST,224,224
4e:67:ff:8e:2b:6a,2412,SUSTENIE,225,225
4e:67:ff:8e:2b:6b,2412,HANDHY,225,225
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,228,228
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,200,200
4e:65:ff:83:94:66,2412,HIPERT,209,209
4e:65:ff:83:94:67,2412,VST,201,201
4e:67:ff:8e:2b:6d,2412,IDEATIVA,218,218
4e:65:ff:83:94:68,2412,SUSTENIE,207,207
4e:65:ff:83:94:69,2412,HANDHY,200,200
4e:65:ff:83:94:6a,2412,OPEN ENERGY,207,207
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,201,201
4e:3a:ff:83:95:3b,2437,HIPERT,203,203
34:60:f9:2a:4:af,2462,hipert-wifi,202,202
36:60:f9:2a:4:af,2462,,201,201
20:97:27:8:52:21,5200,hipert-wifi-pro-5,196,196
4e:3b:ff:83:95:3f,5200,HANDHY,190,190
34:60:f9:2a:4:ae,5220,hipert-wifi,205,205
4e:68:ff:8e:2b:69,5240,HIPERT,212,212
4e:68:ff:8e:2b:6a,5240,VST,213,213
4e:68:ff:8e:2b:6b,5240,SUSTENIE,210,210
4e:68:ff:8e:2b:6c,5240,HANDHY,211,211
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,211,211
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,212,212
4e:68:ff:8e:2b:6e,5240,IDEATIVA,211,211
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,176,176
b0:4e:26:64:50:82,5200,vst-mac_5G,183,183
4e:65:ff:83:94:6b,2412,IDEATIVA,209,209
36:60:f9:2a:4:ae,5220,,204,204
4e:3b:ff:83:95:31,5200,IDEATIVA,190,190
4e:3a:ff:83:95:3c,2437,VST,202,202
4e:3a:ff:83:95:30,2437,IDEATIVA,202,202
b0:4e:26:64:50:83,2412,vst-mac,180,180
b6:4e:26:64:50:84,2412,VST-ButterfLife,184,184
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,184,184
4e:eb:ff:8e:2b:ec,2412,HIPERT,182,182
4e:eb:ff:8e:2b:ed,2412,VST,193,193
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,187,187
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,193,193
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,187,187
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,187,187
4e:ec:ff:8e:2b:ee,5200,VST,189,189
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,190,190
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,183,183
4e:eb:ff:8e:2b:ef,2412,HANDHY,181,181
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,187,187
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,186,186
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,185,185
4e:ec:ff:8e:2b:ed,5200,HIPERT,187,187
4e:ec:ff:8e:2b:e0,5200,HANDHY,190,190
4e:ec:ff:8e:2b:e1,5200,OPEN ENERGY,190,190
4e:ec:ff:8e:2b:e2,5200,IDEATIVA,186,186
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,188,188
4c:9e:ff:83:95:47,5220,TECHBOARDGROUP,169,169
4e:47:ff:83:95:48,5220,HIPERT,169,169
4e:47:ff:83:95:49,5220,VST,168,168
4e:47:ff:83:95:4a,5220,SUSTENIE,168,168
4e:47:ff:83:95:4b,5220,HANDHY,171,171
4e:47:ff:83:95:4c,5220,OPEN ENERGY,169,169
4e:47:ff:83:95:4d,5220,IDEATIVA,170,170
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,202,202
4c:9e:ff:83:95:46,2437,TECHBOARDGROUP,186,186
4e:46:ff:83:95:4a,2437,HANDHY,185,185
4c:9e:ff:8e:2b:c1,2462,TECHBOARDGROUP,183,183
4e:3b:ff:83:95:3c,5200,HIPERT,190,190
4e:3b:ff:83:95:3d,5200,VST,190,190
4e:3b:ff:83:95:3e,5200,SUSTENIE,190,190
4e:3a:ff:83:95:3e,2437,HANDHY,202,202
28:87:ba:31:ee:d8,2462,hipert-wifi,193,193
2a:87:ba:21:ee:d8,2462,,194,194
28:87:ba:31:ee:d9,5220,hipert-wifi,183,183
20:97:27:8:52:20,2437,hipert-wifi-pro,212,212
2a:87:ba:51:ee:d8,5220,,182,182
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,190,190
4e:3b:ff:83:95:30,5200,OPEN ENERGY,190,190
54:af:97:df:76:eb,5220,hipert-wifi,171,171
