mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,210,210
4e:67:ff:8e:2b:68,2412,HIPERT,209,209
4e:67:ff:8e:2b:69,2412,VST,210,210
4e:67:ff:8e:2b:6a,2412,SUSTENIE,215,215
4e:67:ff:8e:2b:6b,2412,HANDHY,211,211
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,214,214
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,186,186
4e:65:ff:83:94:66,2412,HIPERT,193,193
4e:65:ff:83:94:67,2412,VST,201,201
4e:67:ff:8e:2b:6d,2412,IDEATIVA,218,218
4e:65:ff:83:94:68,2412,SUSTENIE,185,185
4e:65:ff:83:94:69,2412,HANDHY,207,207
4e:65:ff:83:94:6a,2412,OPEN ENERGY,200,200
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,183,183
4e:3a:ff:83:95:3b,2437,HIPERT,198,198
4e:3a:ff:83:95:3e,2437,HANDHY,200,200
34:60:f9:2a:4:af,2462,hipert-wifi,223,223
36:60:f9:2a:4:af,2462,,212,212
28:87:ba:31:ee:d8,2462,hipert-wifi,198,198
20:97:27:8:52:21,5200,hipert-wifi-pro-5,196,196
4e:3b:ff:83:95:3f,5200,HANDHY,191,191
34:60:f9:2a:4:ae,5220,hipert-wifi,219,219
4e:68:ff:8e:2b:69,5240,HIPERT,203,203
4e:68:ff:8e:2b:6a,5240,VST,202,202
4e:68:ff:8e:2b:6b,5240,SUSTENIE,203,203
4e:68:ff:8e:2b:6c,5240,HANDHY,203,203
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,203,203
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,202,202
4e:68:ff:8e:2b:6e,5240,IDEATIVA,202,202
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,186,186
2a:87:ba:21:ee:d8,2462,,195,195
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,191,191
b0:4e:26:64:50:82,5200,vst-mac_5G,173,173
28:87:ba:31:ee:d9,5220,hipert-wifi,188,188
4e:65:ff:83:94:6b,2412,IDEATIVA,200,200
36:60:f9:2a:4:ae,5220,,209,209
4e:3b:ff:83:95:30,5200,OPEN ENERGY,191,191
4e:3b:ff:83:95:31,5200,IDEATIVA,191,191
4e:3b:ff:83:95:3c,5200,HIPERT,191,191
4e:3b:ff:83:95:3d,5200,VST,191,191
4e:3b:ff:83:95:3e,5200,SUSTENIE,191,191
4e:3a:ff:83:95:3c,2437,VST,197,197
4e:3a:ff:83:95:3d,2437,SUSTENIE,198,198
4e:3a:ff:83:95:30,2437,IDEATIVA,198,198
b0:4e:26:64:50:83,2412,vst-mac,188,188
b6:4e:26:64:50:84,2412,VST-ButterfLife,187,187
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,203,203
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,185,185
4e:eb:ff:8e:2b:ec,2412,HIPERT,184,184
4e:eb:ff:8e:2b:ed,2412,VST,185,185
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,186,186
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,188,188
2a:87:ba:51:ee:d8,5220,,189,189
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,183,183
54:af:97:df:76:ea,2462,hipert-wifi,184,184
56:af:97:af:76:ea,2462,,185,185
4e:66:ff:83:94:6c,5180,IDEATIVA,167,167
4e:47:ff:83:95:48,5220,HIPERT,169,169
4e:47:ff:83:95:49,5220,VST,171,171
4e:47:ff:83:95:4b,5220,HANDHY,167,167
4e:47:ff:83:95:4d,5220,IDEATIVA,171,171
de:52:38:ed:d1:fd,2412,jock71,184,184
4e:46:ff:83:95:4c,2437,IDEATIVA,182,182
54:af:97:df:76:eb,5220,hipert-wifi,170,170
4c:9e:ff:83:95:47,5220,TECHBOARDGROUP,169,169
4e:47:ff:83:95:4a,5220,SUSTENIE,169,169
4e:47:ff:83:95:4c,5220,OPEN ENERGY,171,171
20:97:27:8:52:20,2437,hipert-wifi-pro,208,208
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,192,192
4c:9e:ff:83:94:66,5180,TECHBOARDGROUP,168,168
4e:66:ff:83:94:67,5180,HIPERT,169,169
4e:66:ff:83:94:68,5180,VST,169,169
4e:66:ff:83:94:69,5180,SUSTENIE,169,169
4e:66:ff:83:94:6a,5180,HANDHY,168,168
4e:66:ff:83:94:6b,5180,OPEN ENERGY,169,169
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,170,170
4e:ec:ff:8e:2b:ed,5200,HIPERT,171,171
4e:ec:ff:8e:2b:ee,5200,VST,169,169
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,169,169
4e:ec:ff:8e:2b:e0,5200,HANDHY,170,170
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,173,173
4e:ec:ff:8e:2b:e1,5200,OPEN ENERGY,170,170
4e:ec:ff:8e:2b:e2,5200,IDEATIVA,169,169
