mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,188,188
4e:67:ff:8e:2b:68,2412,HIPERT,192,192
4e:67:ff:8e:2b:69,2412,VST,190,190
4e:67:ff:8e:2b:6a,2412,SUSTENIE,189,189
4e:67:ff:8e:2b:6b,2412,HANDHY,191,191
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,189,189
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,185,185
4e:65:ff:83:94:66,2412,HIPERT,190,190
4e:65:ff:83:94:67,2412,VST,191,191
4e:67:ff:8e:2b:6d,2412,IDEATIVA,188,188
4e:65:ff:83:94:68,2412,SUSTENIE,189,189
4e:65:ff:83:94:69,2412,HANDHY,192,192
4e:65:ff:83:94:6a,2412,OPEN ENERGY,184,184
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,194,194
4e:3a:ff:83:95:3b,2437,HIPERT,198,198
34:60:f9:2a:4:af,2462,hipert-wifi,201,201
36:60:f9:2a:4:af,2462,,200,200
20:97:27:8:52:21,5200,hipert-wifi-pro-5,174,174
4e:3b:ff:83:95:3f,5200,HANDHY,194,194
34:60:f9:2a:4:ae,5220,hipert-wifi,188,188
4e:68:ff:8e:2b:69,5240,HIPERT,184,184
4e:68:ff:8e:2b:6a,5240,VST,184,184
4e:68:ff:8e:2b:6b,5240,SUSTENIE,184,184
4e:68:ff:8e:2b:6c,5240,HANDHY,185,185
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,185,185
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,184,184
4e:68:ff:8e:2b:6e,5240,IDEATIVA,184,184
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,173,173
b0:4e:26:64:50:82,5200,vst-mac_5G,183,183
4e:65:ff:83:94:6b,2412,IDEATIVA,184,184
36:60:f9:2a:4:ae,5220,,189,189
4e:3b:ff:83:95:31,5200,IDEATIVA,194,194
4e:3a:ff:83:95:3c,2437,VST,193,193
4e:3a:ff:83:95:30,2437,IDEATIVA,195,195
b0:4e:26:64:50:83,2412,vst-mac,189,189
