mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,208,208
4e:67:ff:8e:2b:68,2412,HIPERT,209,209
4e:67:ff:8e:2b:69,2412,VST,209,209
4e:67:ff:8e:2b:6a,2412,SUSTENIE,213,213
4e:67:ff:8e:2b:6b,2412,HANDHY,207,207
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,208,208
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,195,195
4e:65:ff:83:94:66,2412,HIPERT,208,208
4e:65:ff:83:94:67,2412,VST,206,206
4e:67:ff:8e:2b:6d,2412,IDEATIVA,213,213
4e:65:ff:83:94:68,2412,SUSTENIE,206,206
4e:65:ff:83:94:69,2412,HANDHY,204,204
4e:65:ff:83:94:6a,2412,OPEN ENERGY,207,207
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,190,190
4e:3a:ff:83:95:3b,2437,HIPERT,189,189
4e:3a:ff:83:95:3e,2437,HANDHY,191,191
20:97:27:8:52:20,2437,hipert-wifi-pro,200,200
34:60:f9:2a:4:af,2462,hipert-wifi,204,204
36:60:f9:2a:4:af,2462,,203,203
28:87:ba:31:ee:d8,2462,hipert-wifi,192,192
20:97:27:8:52:21,5200,hipert-wifi-pro-5,191,191
4e:3b:ff:83:95:3f,5200,HANDHY,180,180
34:60:f9:2a:4:ae,5220,hipert-wifi,213,213
4e:68:ff:8e:2b:69,5240,HIPERT,199,199
4e:68:ff:8e:2b:6a,5240,VST,197,197
4e:68:ff:8e:2b:6b,5240,SUSTENIE,204,204
4e:68:ff:8e:2b:6c,5240,HANDHY,203,203
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,203,203
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,202,202
4e:68:ff:8e:2b:6e,5240,IDEATIVA,202,202
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,175,175
2a:87:ba:21:ee:d8,2462,,191,191
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,187,187
b0:4e:26:64:50:82,5200,vst-mac_5G,184,184
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,186,186
28:87:ba:31:ee:d9,5220,hipert-wifi,180,180
4e:65:ff:83:94:6b,2412,IDEATIVA,208,208
36:60:f9:2a:4:ae,5220,,213,213
4e:3b:ff:83:95:30,5200,OPEN ENERGY,183,183
4e:3b:ff:83:95:31,5200,IDEATIVA,184,184
4e:3b:ff:83:95:3c,5200,HIPERT,183,183
4e:3b:ff:83:95:3d,5200,VST,188,188
4e:3b:ff:83:95:3e,5200,SUSTENIE,179,179
4e:3a:ff:83:95:3c,2437,VST,189,189
4e:3a:ff:83:95:3d,2437,SUSTENIE,189,189
4e:3a:ff:83:95:30,2437,IDEATIVA,193,193
b0:4e:26:64:50:83,2412,vst-mac,188,188
b6:4e:26:64:50:84,2412,VST-ButterfLife,187,187
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,191,191
e0:b9:e5:27:11:85,2462,FASTWEB-1-271185,186,186
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,169,169
4e:ec:ff:8e:2b:e0,5200,HANDHY,169,169
4e:ec:ff:8e:2b:e2,5200,IDEATIVA,187,187
