mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,210,210
4e:67:ff:8e:2b:68,2412,HIPERT,204,204
4e:67:ff:8e:2b:69,2412,VST,205,205
4e:67:ff:8e:2b:6a,2412,SUSTENIE,208,208
4e:67:ff:8e:2b:6b,2412,HANDHY,225,225
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,208,208
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,223,223
4e:65:ff:83:94:66,2412,HIPERT,220,220
4e:65:ff:83:94:67,2412,VST,221,221
4e:67:ff:8e:2b:6d,2412,IDEATIVA,218,218
4e:65:ff:83:94:68,2412,SUSTENIE,223,223
4e:65:ff:83:94:69,2412,HANDHY,220,220
4e:65:ff:83:94:6a,2412,OPEN ENERGY,222,222
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,195,195
4e:3a:ff:83:95:3b,2437,HIPERT,203,203
34:60:f9:2a:4:af,2462,hipert-wifi,223,223
36:60:f9:2a:4:af,2462,,222,222
20:97:27:8:52:21,5200,hipert-wifi-pro-5,202,202
4e:3b:ff:83:95:3f,5200,HANDHY,190,190
34:60:f9:2a:4:ae,5220,hipert-wifi,210,210
4e:68:ff:8e:2b:69,5240,HIPERT,197,197
4e:68:ff:8e:2b:6a,5240,VST,197,197
4e:68:ff:8e:2b:6b,5240,SUSTENIE,197,197
4e:68:ff:8e:2b:6c,5240,HANDHY,197,197
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,196,196
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,196,196
4e:68:ff:8e:2b:6e,5240,IDEATIVA,197,197
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,188,188
b0:4e:26:64:50:82,5200,vst-mac_5G,183,183
4e:65:ff:83:94:6b,2412,IDEATIVA,220,220
36:60:f9:2a:4:ae,5220,,212,212
4e:3b:ff:83:95:31,5200,IDEATIVA,190,190
4e:3a:ff:83:95:3c,2437,VST,202,202
4e:3a:ff:83:95:30,2437,IDEATIVA,192,192
b0:4e:26:64:50:83,2412,vst-mac,188,188
b6:4e:26:64:50:84,2412,VST-ButterfLife,189,189
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,186,186
4e:eb:ff:8e:2b:ec,2412,HIPERT,185,185
4e:eb:ff:8e:2b:ed,2412,VST,185,185
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,184,184
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,187,187
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,183,183
4c:9e:ff:8e:2b:ec,5200,TECHBOARDGROUP,172,172
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,184,184
4e:eb:ff:8e:2b:ef,2412,HANDHY,189,189
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,190,190
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,185,185
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,181,181
4e:ec:ff:8e:2b:e0,5200,HANDHY,173,173
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,194,194
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,193,193
4e:3b:ff:83:95:3c,5200,HIPERT,183,183
4e:3b:ff:83:95:3d,5200,VST,184,184
4e:3b:ff:83:95:3e,5200,SUSTENIE,190,190
4e:3a:ff:83:95:3e,2437,HANDHY,193,193
28:87:ba:31:ee:d8,2462,hipert-wifi,195,195
2a:87:ba:21:ee:d8,2462,,196,196
28:87:ba:31:ee:d9,5220,hipert-wifi,186,186
20:97:27:8:52:20,2437,hipert-wifi-pro,212,212
2a:87:ba:51:ee:d8,5220,,186,186
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,182,182
4e:3b:ff:83:95:30,5200,OPEN ENERGY,190,190
54:af:97:df:76:eb,5220,hipert-wifi,171,171
d8:ec:e5:78:81:ed,2437,Interdamo,186,186
