mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,215,215
4e:67:ff:8e:2b:68,2412,HIPERT,213,213
4e:67:ff:8e:2b:69,2412,VST,211,211
4e:67:ff:8e:2b:6a,2412,SUSTENIE,213,213
4e:67:ff:8e:2b:6b,2412,HANDHY,214,214
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,211,211
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,195,195
4e:65:ff:83:94:66,2412,HIPERT,215,215
4e:65:ff:83:94:67,2412,VST,220,220
4e:67:ff:8e:2b:6d,2412,IDEATIVA,213,213
4e:65:ff:83:94:68,2412,SUSTENIE,220,220
4e:65:ff:83:94:69,2412,HANDHY,215,215
4e:65:ff:83:94:6a,2412,OPEN ENERGY,219,219
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,195,195
4e:3a:ff:83:95:3b,2437,HIPERT,195,195
4e:3a:ff:83:95:3e,2437,HANDHY,191,191
20:97:27:8:52:20,2437,hipert-wifi-pro,200,200
34:60:f9:2a:4:af,2462,hipert-wifi,219,219
36:60:f9:2a:4:af,2462,,215,215
28:87:ba:31:ee:d8,2462,hipert-wifi,191,191
20:97:27:8:52:21,5200,hipert-wifi-pro-5,191,191
4e:3b:ff:83:95:3f,5200,HANDHY,180,180
34:60:f9:2a:4:ae,5220,hipert-wifi,214,214
4e:68:ff:8e:2b:69,5240,HIPERT,202,202
4e:68:ff:8e:2b:6a,5240,VST,203,203
4e:68:ff:8e:2b:6b,5240,SUSTENIE,203,203
4e:68:ff:8e:2b:6c,5240,HANDHY,202,202
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,203,203
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,202,202
4e:68:ff:8e:2b:6e,5240,IDEATIVA,202,202
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,179,179
2a:87:ba:21:ee:d8,2462,,192,192
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,179,179
b0:4e:26:64:50:82,5200,vst-mac_5G,183,183
b6:4e:26:64:50:83,5200,VST-ButterfLife-5G,182,182
28:87:ba:31:ee:d9,5220,hipert-wifi,186,186
4e:65:ff:83:94:6b,2412,IDEATIVA,219,219
36:60:f9:2a:4:ae,5220,,213,213
4e:3b:ff:83:95:30,5200,OPEN ENERGY,181,181
4e:3b:ff:83:95:31,5200,IDEATIVA,180,180
4e:3b:ff:83:95:3c,5200,HIPERT,182,182
4e:3b:ff:83:95:3d,5200,VST,180,180
4e:3b:ff:83:95:3e,5200,SUSTENIE,180,180
4e:3a:ff:83:95:3c,2437,VST,192,192
4e:3a:ff:83:95:3d,2437,SUSTENIE,191,191
4e:3a:ff:83:95:30,2437,IDEATIVA,195,195
b0:4e:26:64:50:83,2412,vst-mac,188,188
b6:4e:26:64:50:84,2412,VST-ButterfLife,187,187
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,191,191
e0:b9:e5:27:11:85,2462,FASTWEB-1-271185,184,184
4e:ec:ff:8e:2b:ef,5200,SUSTENIE,169,169
4e:ec:ff:8e:2b:e0,5200,HANDHY,169,169
4e:ec:ff:8e:2b:e2,5200,IDEATIVA,187,187
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,184,184
4e:eb:ff:8e:2b:ec,2412,HIPERT,183,183
4e:eb:ff:8e:2b:ed,2412,VST,185,185
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,184,184
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,185,185
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,185,185
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,183,183
2a:87:ba:51:ee:d8,5220,,185,185
