mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,222,222
4e:67:ff:8e:2b:68,2412,HIPERT,217,217
4e:67:ff:8e:2b:69,2412,VST,217,217
4e:67:ff:8e:2b:6a,2412,SUSTENIE,223,223
4e:67:ff:8e:2b:6b,2412,HANDHY,216,216
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,223,223
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,205,205
4e:65:ff:83:94:66,2412,HIPERT,205,205
4e:65:ff:83:94:67,2412,VST,207,207
4e:67:ff:8e:2b:6d,2412,IDEATIVA,225,225
4e:65:ff:83:94:68,2412,SUSTENIE,198,198
4e:65:ff:83:94:69,2412,HANDHY,200,200
4e:65:ff:83:94:6a,2412,OPEN ENERGY,201,201
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,202,202
4e:3a:ff:83:95:3b,2437,HIPERT,198,198
4e:3a:ff:83:95:3e,2437,HANDHY,203,203
34:60:f9:2a:4:af,2462,hipert-wifi,204,204
36:60:f9:2a:4:af,2462,,207,207
28:87:ba:31:ee:d8,2462,hipert-wifi,198,198
20:97:27:8:52:21,5200,hipert-wifi-pro-5,183,183
4e:3b:ff:83:95:3f,5200,HANDHY,195,195
34:60:f9:2a:4:ae,5220,hipert-wifi,202,202
4e:68:ff:8e:2b:69,5240,HIPERT,217,217
4e:68:ff:8e:2b:6a,5240,VST,216,216
4e:68:ff:8e:2b:6b,5240,SUSTENIE,216,216
4e:68:ff:8e:2b:6c,5240,HANDHY,216,216
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,215,215
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,216,216
4e:68:ff:8e:2b:6e,5240,IDEATIVA,215,215
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,173,173
2a:87:ba:21:ee:d8,2462,,197,197
4c:9e:ff:83:95:3b,5200,TECHBOARDGROUP,191,191
b0:4e:26:64:50:82,5200,vst-mac_5G,177,177
28:87:ba:31:ee:d9,5220,hipert-wifi,184,184
4e:65:ff:83:94:6b,2412,IDEATIVA,201,201
36:60:f9:2a:4:ae,5220,,201,201
4e:3b:ff:83:95:30,5200,OPEN ENERGY,194,194
4e:3b:ff:83:95:31,5200,IDEATIVA,195,195
4e:3b:ff:83:95:3c,5200,HIPERT,191,191
4e:3b:ff:83:95:3d,5200,VST,194,194
4e:3b:ff:83:95:3e,5200,SUSTENIE,194,194
4e:3a:ff:83:95:3c,2437,VST,191,191
4e:3a:ff:83:95:3d,2437,SUSTENIE,190,190
4e:3a:ff:83:95:30,2437,IDEATIVA,189,189
b0:4e:26:64:50:83,2412,vst-mac,181,181
b6:4e:26:64:50:84,2412,VST-ButterfLife,180,180
4e:3a:ff:83:95:3f,2437,OPEN ENERGY,203,203
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,184,184
4e:eb:ff:8e:2b:ec,2412,HIPERT,187,187
4e:eb:ff:8e:2b:ed,2412,VST,186,186
4e:eb:ff:8e:2b:ee,2412,SUSTENIE,189,189
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,185,185
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,187,187
f4:b3:1:6d:d1:a7,2462,CARE-TB-2dbc348a4f7c4b7b,183,183
2a:87:ba:51:ee:d8,5220,,192,192
4e:eb:ff:8e:2b:ef,2412,HANDHY,186,186
4e:eb:ff:8e:2b:e0,2412,OPEN ENERGY,193,193
4e:eb:ff:8e:2b:e1,2412,IDEATIVA,192,192
56:af:97:df:76:ea,5220,,171,171
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,183,183
54:af:97:df:76:ea,2462,hipert-wifi,184,184
56:af:97:af:76:ea,2462,,183,183
4e:66:ff:83:94:6c,5180,IDEATIVA,170,170
4e:47:ff:83:95:48,5220,HIPERT,170,170
4e:47:ff:83:95:49,5220,VST,171,171
4e:47:ff:83:95:4b,5220,HANDHY,169,169
4e:47:ff:83:95:4d,5220,IDEATIVA,171,171
de:52:38:ed:d1:fd,2412,jock71,183,183
4e:46:ff:83:95:4c,2437,IDEATIVA,182,182
54:af:97:df:76:eb,5220,hipert-wifi,169,169
4c:9e:ff:83:95:47,5220,TECHBOARDGROUP,169,169
4e:47:ff:83:95:4a,5220,SUSTENIE,171,171
4e:47:ff:83:95:4c,5220,OPEN ENERGY,171,171
