mac,frequency,ssid,signalDBM,signalAvgDBM
4c:9e:ff:8e:2b:67,2412,TECHBOARDGROUP,191,191
4e:67:ff:8e:2b:68,2412,HIPERT,191,191
4e:67:ff:8e:2b:69,2412,VST,190,190
4e:67:ff:8e:2b:6a,2412,SUSTENIE,189,189
4e:67:ff:8e:2b:6b,2412,HANDHY,186,186
4e:67:ff:8e:2b:6c,2412,OPEN ENERGY,189,189
4c:9e:ff:83:94:65,2412,TECHBOARDGROUP,188,188
4e:65:ff:83:94:66,2412,HIPERT,189,189
4e:65:ff:83:94:67,2412,VST,188,188
4e:67:ff:8e:2b:6d,2412,IDEATIVA,195,195
4e:65:ff:83:94:68,2412,SUSTENIE,187,187
4e:65:ff:83:94:69,2412,HANDHY,188,188
4e:65:ff:83:94:6a,2412,OPEN ENERGY,190,190
4c:9e:ff:83:95:3a,2437,TECHBOARDGROUP,200,200
4e:3a:ff:83:95:3b,2437,HIPERT,198,198
34:60:f9:2a:4:af,2462,hipert-wifi,200,200
36:60:f9:2a:4:af,2462,,200,200
20:97:27:8:52:21,5200,hipert-wifi-pro-5,166,166
4e:3b:ff:83:95:3f,5200,HANDHY,190,190
34:60:f9:2a:4:ae,5220,hipert-wifi,192,192
4e:68:ff:8e:2b:69,5240,HIPERT,185,185
4e:68:ff:8e:2b:6a,5240,VST,185,185
4e:68:ff:8e:2b:6b,5240,SUSTENIE,185,185
4e:68:ff:8e:2b:6c,5240,HANDHY,186,186
4e:68:ff:8e:2b:6d,5240,OPEN ENERGY,184,184
4c:9e:ff:8e:2b:68,5240,TECHBOARDGROUP,185,185
4e:68:ff:8e:2b:6e,5240,IDEATIVA,184,184
fa:e8:c2:1:12:30,5745,Mi 11 Lite 5G,171,171
b0:4e:26:64:50:82,5200,vst-mac_5G,186,186
4e:65:ff:83:94:6b,2412,IDEATIVA,187,187
36:60:f9:2a:4:ae,5220,,190,190
4e:3b:ff:83:95:31,5200,IDEATIVA,189,189
4e:3a:ff:83:95:3c,2437,VST,196,196
4e:3a:ff:83:95:30,2437,IDEATIVA,198,198
b0:4e:26:64:50:83,2412,vst-mac,187,187
b6:4e:26:64:50:84,2412,VST-ButterfLife,184,184
4c:9e:ff:8e:2b:eb,2412,TECHBOARDGROUP,187,187
4e:eb:ff:8e:2b:ec,2412,HIPERT,191,191
4e:eb:ff:8e:2b:ed,2412,VST,189,189
e4:b3:18:e8:78:3a,2462,CARE-TB-15106e798aa44361,199,199
fa:d0:27:3c:69:38,2412,DIRECT-273CE938,186,186
20:97:27:8:52:20,2437,hipert-wifi-pro,206,206
a4:34:d9:9f:f0:29,2462,CARE-TB-51b6269178ed47c1,198,198
